breweryName,breweryCity,breweryState
Mikerphone Brewing,"Founded in Chicago in 2015. At first the beer was brewed at SlapShot, then at Une Année. They opened their own brewery in Elk Grove Village in 2017.",IL
Milk Money Brewing,"La Grange, opened in 2020.",IL
Miskatonic Brewing Company,"Darien, opened in 2015.",IL
Molly's Pint Brewpub,"Murphysboro, opened in 2017.",IL
Monarch Brewing Company,"Monticello, opened in 2017.",IL
Moody Tongue Brewing Company,"Chicago, founded in 2014. Added a tap room in 2016. In 2019 they moved to the larger, vacant Baderbrau Brewing Company building and expanded the food menu, closing the old location in June of that year and opening the new one in November.",IL
MyGrain Brewing Company,"Joliet, opened in 2017.",IL
Nightshade and Dark's Pandemonium Brewing,"Waukegan, opened in 2019.",IL
Nik & Ivey Brewing Company,"Lockport, opened in 2020.",IL
Noon Whistle Brewing,"The brewery and taproom in Lombard opened in 2014. The production brewery in Naperville opened in 2020, and added a taproom later that year.",IL
North Shore Cider Company,"Cider brewery in Evanston, opened in 2017.",IL
Oak Park Brewing Company,"Oak Park, co-located with Hamburger Mary's Show Lounge; opened in 2016.",IL
Obscurity Brewing & Craft Mead,"Beer and mead brewery and restaurant in Elburn, opened in 2020.",IL
Off Color Brewing,"Chicago, opened in 2013. A second brewery, with a taproom called the Mousetrap, opened in 2017.",IL
Old Bakery Beer Company,"Alton, opened in 2015.",IL
Old Herald Brewery and Distillery,"Collinsville, opened in 2019.",IL
Old Irving Brewing Company,"Chicago, opened in 2016; brewpub inspired by the cuisine of Homaro Cantu.",IL
On Tour Brewing Company,"Chicago, opened in 2017.",IL
One Allegiance Brewing,"Chicago Ridge, opened in 2020.",IL
One Lake Brewing,"Oak Park, opened in 2019.",IL
One Trick Pony,"Lansing, opened in 2012.",IL
Only Child Brewing,"Opened in Northbrook in 2013, moved to Gurnee in 2015.",IL
Open Outcry Brewing Company,"Chicago, opened in 2017.",IL
Opera House Brewing Company,"Hillsboro, opened in 2018.",IL
Ørkenoy,"Chicago, opened in 2020.",IL
Oswego Brewing Company,"Oswego, opened in 2018.",IL
Peckish Pig,"Evanston, opened in 2014.",IL
Peel Brewing Company,"O'Fallon, opened in 2014.",IL
Penrose Brewing Company,"Geneva, opened in 2014.",IL
Phase Three Brewing Company,"Lake Zurich, founded in 2019. The beer was initially brewed at Lake Zurich Brewing Company, which they bought out in 2020.",IL
Piece Brewery and Pizzeria,"Chicago, opened in 2001.",IL
Pig Minds Brewing Company,"Vegan brewpub in Machesney Park, opened in 2012.",IL
Pilot Project,"Chicago, opened in 2019.",IL
Pipeworks Brewing Company,"Chicago, opened in 2012, moved to a larger space in 2015.",IL
Pips Meadery,"Mead brewery in Beach Park, opened in 2018.",IL
Pollyanna Brewing Company,"Lemont, opened in 2014. A second brewery, with a taproom called Roselare, opened in Roselle in 2017. A third location, in St. Charles, opened in 2019.",IL
Prairie Street Brewing Company,"Rockford. Opened as Rockford Brewing Company in 2013, in the old Peacock Brewery. Renamed to Prairie Street in 2016.",IL
Rabid Brewing,"Homewood, opened in 2017.",IL
Radicle Effect Brewerks,"Rock Island, opened in 2012 as Against the Grain Brewery & Alehouse, changed their name in 2014 to Radicle Effect Brewerks.",IL
Radium City Brewing,"Ottawa, opened in 2015.",IL
Ravinia Brewing Company,"Founded in 2017. Initially the beer was contract brewed at Finch Brewery. The pub in Highland Park opened in 2018, with the beer brought in from offsite. The production brewery in Chicago opened in 2019.",IL
Rebellion Brew Haus,"Moline, opened in 2016.",IL
Recess Brewing,"Edwardsville, opened in 2014.",IL
Rhodell Brewery,"Peoria, opened in 1998. Moved to a larger location in 2015.",IL
Riggs Beer Company,"Urbana, opened in 2016.",IL
Right Bee Cider,"Apple cider brewery in Chicago, opened in 2014. The taproom opened in 2019.",IL
River Hawk Brewing,"Channahon, opened in 2017.",IL
Riverlands Brewing Company,"St. Charles, opened in 2019.",IL
Roaring Table Brewing Company,"Lake Zurich, opened in 2017.",IL
Rock Bottom Restaurant & Brewery,"Rock Bottom is a chain of brewpubs founded in Denver, Colorado in 1991. It has several dozen locations, with those in Illinois including Chicago, Lombard, Orland Park, and Warrenville, plus one in Bolingbrook that was formerly a Gordon Biersch. (Both Rock Bottom and Gordon Biersch were owned by CraftWorks Holdings and are now owned by SPB Hospitality.)",IL
Roebuck Pizza,"Chicago, opened in 2019.",IL
Route 51 Brewing Company,"Elkville, opened in 2017.",IL
Scorched Earth Brewing Company,"Algonquin, opened in 2014.",IL
Scratch Brewing Company,"Ava, opened in 2013.",IL
Second City Meadery,"Chicago meadery, opened in 2020.",IL
Sew Hop'd Brewery & Tap Room,"Huntley, opened in 2019.",IL
ShadowView Brewing,"Woodstock, restaurant opened in 2018, commenced brewing in 2019.",IL
Short Fuse Brewing Company,"Schiller Park, opened in 2017.",IL
Side Lot Brewery,"Wauconda, opened in 2016.",IL
Skeleton Key Brewery,"Woodridge, opened in 2016.",IL
Sketchbook Brewing Company,"The brewery in Evanston opened in 2014, and added a taproom in 2016. The brewery and taproom in Skokie opened in 2020.",IL
Smylie Brothers Brewing Company,"Evanston brewpub, opened in 2014. In 2018 they started brewing some of their beer in Chicago at the former Aquanaut brewery.",IL
Solemn Oath Brewery,"Naperville, founded in 2012.",IL
Soundgrowler Brewing,"Tinley Park, opened in 2017.",IL
Spirit Water,"Cary, opened in 2020.",IL
Spiteful Brewing,"Chicago, opened in 2012. Moved to a new location and added a taproom in 2017.",IL
Springfield Beer Company,"Springfield, opened in 2019.",IL
Steam Hollow Brewing Company,"Manteno, opened in 2019.",IL
St. Nicholas Brewing Company,"Du Quoin, opened in 2014.",IL
Stockholm's,"Geneva, opened in 2002.",IL
Stubborn German Brewing Company,"Waterloo, opened in 2016.",IL
Temperance Beer Company,"Evanston, opened in 2013.",IL
Ten Ninety Brewing Company,"Founded in 2013. Initially the beer was contract brewed at Big Chicago Brewing Company in Zion, which Ten Ninety then acquired in 2014. The brewery moved to a new location with a taproom in Glenview in 2016. They added a kitchen in 2019.",IL
Three Angels Brewing,"Yorkville, opened in 2012.",IL
Tighthead Brewing Company,"Mundelein, opened in 2011.",IL
Trail's Edge Brewing Company,"Frankfort, opened in 2018 at the Smokey Barque restaurant.",IL
Tribes Beer Company,"Started as the Tribes Alehouse bar and restaurant in Mokena (2009) and Tinley Park (2012), then added a brewery at the Mokena location in 2015. Opened a larger brewery and taproom in Mokena in 2018. The first Mokena location closed in 2019.",IL
Triptych Brewing,"Savoy, opened in 2013.",IL
Twisted Hippo,"Founded in Chicago as Rude Hippo in 2014 and later renamed to Twisted Hippo. The beer was contract brewed at 18th Street Brewery in Gary, Indiana, SlapShot Brewing in Chicago, and Aleman Brewing in Chicago. They opened their own brewpub in 2019.",IL
Two Brothers Brewing,"Two Brothers opened in 1997, and started bottling their beer in 1998. They have three brewpubs — one at the main brewery in Warrenville (opened in 2008), one at the Two Brothers Roundhouse in Aurora (2013), and one in Scottsdale, Arizona (2015). In 2017 they also started distilling hard liquor at the Aurora location.",IL
Two Doors Down Brewery,"Clinton, opened in 2018.",IL
Two Hound Red,"Glen Ellyn brewpub, opened in 2019.",IL
Unpossible Mead,"Meadery in Dwight, taproom opened in 2018",IL
Urban Brew Labs,"Chicago, opened in 2018.",IL
Urban Forest Craft Brewing,"Rockford, opened in 2020.",IL
Urban Renewal Brewery,"Chicago, opened in 2018.",IL
Village Vintner Winery & Brewery,"Algonquin, opened in 2012.",IL
Wake Brewing,"Rock Island, opened in 2017.",IL
Werk Force Brewing Company,"Plainfield, opened in 2014.",IL
Whiner Beer Company,"Chicago, opened in 2016.",IL
Whiskey Hill Brewing Company,"Westmont, opened in 2018.",IL
White Oak Brewing,"Normal, opened in 2015; added a taproom in 2017.",IL
White Rooster Farmhouse Brewery,"Sparta, opened in 2017.",IL
Wild Blossom Meadery,"Chicago; opened in 2001; moved to a new location and added a taproom in 2017. Wild Blossom brews mead, using their own honey, and also makes wine and beer.",IL
Will County Brewing Company,"Shorewood, opened in 2018.",IL
Wishful Acres Farm & Brewery,"Lena, opened in 2016.",IL
Wolfden Brewing Company,"Bloomingdale, opened in 2018.",IL
ZümBier,"Waukegan, opened in 2014.",IL
Ram Restaurant & Brewery,"Arlington, Lakebay, Puyallup, Richland, Roslyn, Woodinville",WA
Diamond Knot Craft Brewing,"Mountlake Terrace, Mukilteo",WA
McMenamins,"Mill Creek, Olympia, Seattle (2), Vancouver (2)",WA
Fox River Brewing Company,"Oshkosh, Wisconsin",WI
Mountain State Brewing Company,"Morgantown, Thomas,",WV
Melvin Brewing,"Jackson, Alpine",WY
